RowNumber|Name|ManufacturerName|ModelNumber|ModelName|EntryID|Cat|IsMatched|CatDesc|Record
1|SCALES, HEIGHT & WEIGHT|@WEIGH|BW-1130MH||||N||1
2|SCALE, INFANT|@WEIGH PTY LTD|MS-2400||||N||1
3|Blood Warmer|°MEQU|PowerPack MWS101||||N||1
4|MODEM|3 COM|345||||N||1
5|ETHERNET SWITCH|3 COM|3CRDSF9PWR|OFFICE CONNECT POE SWITCH|||N||1
6|ETHERNET SWITCH|3 COM|SUPERSTACK||||N||1
7||3-Dmed|TRLCD03-240||||N||1
8||3M|118/A||||N||1
9|FLUID WARMER|3M|245||2000030|2|Y|2 Manuf ModelNum matched|1
10|WARMER (BLOOD)|3M|24503|MODEL 245 RANGER|||N||1
11|LIGHT, CURING|3M|2500||||N||1
12|CLIPPERS|3M|3M||||N||1
13|LETTERING SYSTEM|3M|4000||||N||1
14|LIGHT, CURING|3M|5530AT||||N||1
15|LIGHT, CURING|3M|5530BT||||N||1
16|STIMULATORS, ELECTRICAL, PERIPHERAL NERVE, ANALGESIC, TRANSCUTANEOUS|3M|6215-000-000|SYSTEM 6 LARGE BATTERY|||N||1
17|STIMULATORS, ELECTRICAL, PERIPHERAL NERVE, ANALGESIC, TRANSCUTANEOUS|3M|6242||||N||1
18|STIMULATORS, ELECTRICAL, NEUROMUSCULAR|3M|6242||||N||1
19|STIMULATORS, ELECTRICAL, PERIPHERAL NERVE, ANALGESIC, TRANSCUTANEOUS|3M|6277||||N||1
20|STIMULATORS, ELECTRICAL, NEUROMUSCULAR|3M|6295||||N||1
21|STIMULATORS, ELECTRICAL, PERIPHERAL NERVE, ANALGESIC, TRANSCUTANEOUS|3M|6295||||N||1
22|STIMULATORS, ELECTRICAL, PERIPHERAL NERVE, ANALGESIC, TRANSCUTANEOUS|3M|6810||||N||1
23|STIMULATORS, ELECTRICAL, PERIPHERAL NERVE, ANALGESIC, TRANSCUTANEOUS|3M|6880||||N||1
24|STIMULATORS, ELECTRICAL, PERIPHERAL NERVE, ANALGESIC, TRANSCUTANEOUS|3M|6881||||N||1
25|LETTERING SYSTEM|3M|7402||||N||1
26|WARMER UNITS, PATIENT|3M|77503|MODEL 775|||N||1
27|MICROFICHE READER|3M|800F||||N||1
28|CHARGER, SURGICAL CLIPPER|3M|9660L||||N||1
29|CLIPPERS|3M|9661||||N||1
30|CHARGER, BATTERY|3M|9661||||N||1
31|CHARGER, BATTERY|3M|9661L||3000393|2|Y|2 Manuf ModelNum matched|1
32|CHARGER, SURGICAL CLIPPER|3M|9663||||N||1
33|CHARGER, BATTERY|3M|9663||||N||1
34|CHARGER, SURGICAL CLIPPER|3M|9663L||||N||1
35|INCUBATOR|3M|ATTEST||||N||1
36|LIGHT, CURING|3M|FREELIGHT||||N||1
37|LIGHT, CURING|3M|FREELIGHT2||||N||1
38|STIMULATORS, ELECTRICAL, NEUROMUSCULAR|3M|NONE (CLASS 1)||||N||1
39|DENTAL AMALGAMATOR|3M|ROTOMIX||||N||1
40|LIGHT, CURING|3M|VISILUX 2||||N||1
41|PRINTER|3M Australia|1750283||||N||1
42|Warmer, Blood, Dry Heat|3M Australia|245||2000030|4|Y|4 Modelnum matched|1
43|Bair Hugger|3M AUSTRALIA|775||3000055|4|Y|4 Modelnum matched|1
44|PATIENT WARMER|3M AUSTRALIA|775||3000055|4|Y|4 Modelnum matched|1
45|CLIPPER, SURGICAL|3M Australia|9667L-A||||N||1
46|TENS UNIT|3M AUSTRALIA|TENZCARE||||N||1
47|AMALGAMATOR, DENTAL, AC-POWERED|3M ESPE|CAPMIX||||N||1
48|LIGHT, CURING|3M ESPE|ELIPAR 10||||N||1
49|LIGHT, CURING|3M ESPE|ELIPAR S10||||N||1
50|LIGHT, CURING, PORTABLE|3M ESPE|FREELIGHT2||||N||1
51|LIGHT, CURING|3M ESPE|FREELIGHT2||||N||1
52|DENTAL AMALGAMATOR|3M ESPE|ROTAMIX||||N||1
53|MIXER, DENTAL, AMALGAM|3M ESPE|ROTO MIX||||N||1
54|EBME00245 - MIXER, DENTAL, AMALGAM|3M ESPE|ROTO MIX||||N||1
55|EBME00244 - MIXER, DENTAL, AMALGAM|3M ESPE|ROTO MIX||||N||1
56|EBME00243 - MIXER, DENTAL, AMALGAM|3M ESPE|ROTO MIX||||N||1
57|EBME00246 - MIXER, DENTAL, AMALGAM|3M ESPE|ROTO MIX||||N||1
58|MIXER, DENTAL|3M ESPE|ROTOMIX||||N||1
59|DENTAL AMALGAMATOR|3M ESPE|ROTOMIX||||N||1
60|DENTAL, AMALGAMATOR|3M ESPE|ROTOMIX||||N||1
61|MIXER, DENTAL, AMALGAM|3M ESPE|ROTOMIX||||N||1
62||3M Health Care|775|Bair Hugger Ref 77503|3000055|4|Y|4 Modelnum matched|1
63||3M HEALTH CARE|775-3M||||N||1
64||3M Health Care|COMPUTENZ||||N||1
65||3M Health Care|TENZCARE||||N||1
66|WARMER, Blood, Dry Heat|3m Health Care Australia|Ranger 245||||N||1
67|HYPERTHERMIA UNIT|3M HEALTH CARE USA|775||3000055|4|Y|4 Modelnum matched|1
68|Warmer, Blood, Fluid|3M Healthcare|245||2000030|4|Y|4 Modelnum matched|1
69|WARMING UNIT, BLOOD/INTRAVENOUS SOLUTION|3M HEALTHCARE|245||2000030|3|Y|3 Name ModelNum matched|1
70|INCUBATORS, LABORATORY, TEST TUBE|3M HEALTHCARE|290||||N||1
71|INCUBATOR, LABORATORY, AEROBIC|3M HEALTHCARE|290||||N||1
72|Analyser, Biological Indicators|3M Healthcare|290||||N||1
73|AMALGAMATOR, DENTAL, AC-POWERED|3M HEALTHCARE|3M ROTOMIX||||N||1
74|INCUBATORS, LABORATORY, TEST TUBE|3M HEALTHCARE|490||3000385|4|Y|4 Modelnum matched|1
75|INCUBATOR, LABORATORY, THERMOCYCLING|3M HEALTHCARE|490||3000385|4|Y|4 Modelnum matched|1
76|CURING LIGHT|3M HEALTHCARE|5560 AT||||N||1
77|Stimulator, Electroanalgesic, Tens|3M Healthcare|6215||||N||1
78|PATIENT WARMER|3M HEALTHCARE|775||3000055|4|Y|4 Modelnum matched|1
79|HYPERTHERMIA UNIT|3M HEALTHCARE|775||3000055|4|Y|4 Modelnum matched|1
80|Warmer, Patient, Air Blanket|3M Healthcare|775||3000055|3|Y|3 Name ModelNum matched|1
81|WARMING UNIT, PATIENT, FORCED-AIR|3M HEALTHCARE|775||3000055|3|Y|3 Name ModelNum matched|1
82|HYPERTHERMIA UNIT|3M HEALTHCARE|BAIR HUGGER 750||||N||1
83|CURING UNIT, DENTAL LABORATORY|3M HEALTHCARE|ELIPAR II||||N||1
84|AMALGAM MIXER UNIT|3M HEALTHCARE|Espe Rotomix||||N||1
85|BB71627 - AMALGAM MIXER UNIT|3M HEALTHCARE|Espe Rotomix||||N||1
86|Powered, Respirator|3M Healthcare|TR-302E||||N||1
87|BLOOD WARMER|3M MEDICAL|RANGER 245||||N||1
88|LIGHT, CURING|3M UNITEK|ORTHOLUX||||N||1
89|SONY MO DISK|501795|RMO-S561||||N||1
90|SCALES (CHAIR)|A & D|150-SCALES||||N||1
91|MULTIMETER (LOGGING)|A & D|AD5312||||N||1
92|SCALES (CHAIR)|A & D|FW-CS||||N||1
93|SCALES (CHAIR)|A & D|HV-150K||||N||1
94|SCALES (CHAIR)|A & D|HVCS-150||||N||1
95|SCALES (CHAIR)|A & D|HV-CS1500||||N||1
96|SCALES|A & D|HVL-CS||||N||1
97|SCALES (CHAIR)|A & D|HVL-CS||||N||1
98|SCALES, ADULT|A & D|HW-PW200||||N||1
99|SCALES, ADULT|A & D|MPWS||||N||1
100|Sphygmomanometer, electronic, automatic-inflation, portable, arm/wrist|A & D|UA-851||||N||1
101|SPHYGMOMANOMETER, ANEROID|A & D|UA-851||||N||1
102|SPHYGMOMANOMETER, ANEROID|A & D|UM-101||||N||1
103|SPHYGMOMANOMETERS, ELECTRONIC|A & D|UM-101||||N||1
104|Sphygmomanometer, electronic, manual-inflation, portable|A & D|UM-101A||||N||1
105|Sphygmomanometer, electronic, manual-inflation, portable|A & D|UM-101B||||N||1
106|Sphygmomanometer, electronic, automatic-inflation, portable, arm/wrist|A & D|UM-102||2000056|3|Y|3 Name ModelNum matched|1
107|SPHYGMOMANOMETERS, ELECTRONIC|A & D|UM-102B||||N||1
108|CHAIR, PATIENT WEIGHING|A & D AUSTRALASIA|HVL-CS||||N||1
109|BALANCE, ANALYTICAL, TOP LOADING|A & D COMPANY LTD|EK-12KA||||N||1
110|N000083 - CHAIR SCALE|A & D COMPANY LTD|FV-CS||||N||1
111|BALANCE, ANALYTICAL, TOP LOADING|A & D COMPANY LTD|FY-3000||||N||1
112|CHAIR SCALE|A & D COMPANY LTD|HV-CS||||N||1
113|SCALE, CHAIR|A & D COMPANY LTD|HVL-CS||||N||1
114|EFME00164 - SCALE, PATIENT, FLOOR|A & D COMPANY LTD|UC-321PBT||||N||1
115|SCALES,ELECTRONIC|A & D Company, Limited|HW-PW200||||N||1
116|Sphygmomanometer, Electronic, Automatic|A & D Company, Limited|UA-767||||N||1
117|SCALE, PATIENT, CHAIR|A & D INSTRUMENTS|HVCS||||N||1
118|Analyser, physiologic, body composition|A & D Medical|01-1012||||N||1
119|MONITOR|A & D Medical|01-1012||||N||1
120|Sphygmomanometer, Electronic, Automatic|A & D Medical|UA-762||||N||1
121||A & D MEDICAL|UA-767||||N||1
122|Sphygmomanometer, Electronic, Automatic|A & D Medical|UA-767||||N||1
123||A & D MEDICAL|UA-8521||||N||1
124||A & D MEDICAL|UM-101||||N||1
125||A & D MEDICAL|UM-102||2000056|4|Y|4 Modelnum matched|1
126|SCALES, PATIENT WEIGHING|A & D MERCURY|AD 4326B||||N||1
127|SCALES, MERCURY|A & D MERCURY|FV-150K||||N||1
128|SCALE, BABY|A & D MERCURY|FV-30K||||N||1
129||A & D MERCURY|FV-CS-150||||N||1
130||A & D MERCURY|HV-150K||||N||1
131||A & D MERCURY|HV-CS||||N||1
132||A & D MERCURY|HVCS-150||||N||1
133||A & D MERCURY|HVL-CS||||N||1
134|CHAIR, PATIENT WEIGHING|A & D MERCURY|HVL-CS||||N||1
135||A & D MERCURY|MPWS||||N||1
136||A & D MERCURY|UC-321PBT||||N||1
137||A & D MERCURY|UM-101||||N||1
138||A & D MERCURY|UM-101B||||N||1
139||A & D MERCURY|UM-102||2000056|4|Y|4 Modelnum matched|1
140||A & D MERCURY|UM-102B||||N||1
141|PUMP, PERFUSION|A B JASTRA|901371||||N||1
142|HEART LUNG MACHINE|A B JASTRA|HL20||||N||1
143|TRANSFORMER|A H THOMAS|UNIMELT||||N||1
144|ENDODONTIC HEAT CARRIER|A SEPTICO INC|AEU-25VDW||||N||1
